Mixin,Field name,ORIG Field name,Data type,Precision,Multiple,Description,Internal field name,ORIG Internal field name,defaultValue,defaultLanguage,indexInId,indexInParents,queryNames,isInstanciable,isStorage,isDefinition,Has Mixins,Inherits,fieldAndMixins,isHistorizable,isContributable,documentation,maxScan,storageModel,importDefaultOnly,importAutolinkedOnly,useIdForParent,evalAsJs,dontEncodeIdInUri,jsFunctionToEval,isInRefMixin,useIdForRefMixin,useParentForRefMixin,specificToCountryLanguage,queryLimit,aliasedStorageNames,readonly,queryBeforeCreate,fulltext
// doc & TODOs (next line is defaults),,,,,,,,,avoid if several of the same (sub)type,,,"Note that for ease of use, id fields are auto added as parent fields when they are not yet such (however, to fully control parent field order ex. primary parent is an id field, all parent fields have to have an indexInParents)",,"Is Mixin = !isInstanciable.
Defaults to true, set to false when :
you don't want to import a Resource of this precise type,
such as for reusable, not concrete type (mixin)
or for concrete types inheriting from a polymorphic storage type","Defaults to true, set to false when :
You don't want this type to have its own collection / table,
Such as for concrete types inheriting from a polymorphic storage type","(differs from saying that a given inherited field should not be redefined, which is auto)
Defaults to true, set to false when :
No inherited field definition should be redefined",,i.e. reuses but overrides definitions,,,,,,"?
And path",,,,,,javascript function to apply to parsed value,,,,,"0 if not indexed (default), else ex. 100. Implicit (no need to set it again) on all aliasing fields.",ex. geo:name for both geoco:name and geoci:name fields allows to search in both at once in abstract geoname field. Can also be multiple ex. orgfr:siret is stored in org:id and orgfr:numeroFiscal in org:vatNumber but orges/it:vatNumber is stored in both org:vatNumber and org:id (which should then be readonly to avoid changing it without changing org:vatNumber).,"if true, this field won't be written. Useful with fields that are computed or filled by others with multiple aliasedStorageNames.","if true, will build and execute a lookup query (at least one must have values for all fields that are tagged by its name in queryNames. If found, id fields as well as fields filled with default values will be overriden by existing values.","Enables fulltext search. Resources will only be found once saved since enabling it. If true for string or i18n field, its value will be tokenized and added to the single fulltext index. MUST be set again on aliasing fields."
,,,,,,,,,,en,,,,true,true,true,,,,,,,,,false,false,true,,,"ex. hashCodeId, generateUuid",,true,true,,,,,false,
odisp:Displayable_0,odisp:name,,i18n,,,"fill it in instance models, or replace their :name or store it in it",,,,,,,,false,false,,,,,,,,,,,,,,,,,,,,100,,,,true
oanc:Ancestor_0,oanc:ancestors,,oanc:Ancestor_0,,true,"auto computed OR can be provided (as URL, one per line or comma separated), in the same data file or additional ones",__computed,,,,,,,false,false,,,,,,,,,,,,,,,,true,,,,,,,,
geo:Area_0,geo:idIso,,String,,,"LATER polymorphism ? TODO fill it in instance models, or replace their :name",,,,,,,,false,true,,"odisp:Displayable_0,oanc:Ancestor_0",,,,,,,,,,,,,,,,,,100,,,,
geo:Area_0,geo:country,,geoco:Country_0,,,"LATER polymorphism or ancestors or refMixin ? TODO fill it in instance models, or replace their :name",,,,,,,,,,,,,,,,,,,,,,,,,,,,,100,,,,
geo:Area_0,geo:name,,i18n,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100,,,,true
geo:Area_0,odisp:name,,i18n,,,disable fulltext since custom,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100,,,,false
geoco:Country_0,geoco:idIso,,String,,,"id country = iso, idem pour nuts ; ex. FR, IT, TR...",,,,,0,,,false,false,,geo:Area_0,,,,,,,,,,,,,,true,,,,,geo:idIso,,,
geoco:Country_0,geoco:name,,i18n,,,"TODO rather o_displayable:name ? Pas de displayName, il l'est lui-même, attendre la possibilité d'avoir deux AliasStorageName",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"geo:name,odisp:name",,,true
geoco:Country_0,geoco:statisticalInstitute,,String,,,"Website, OR TODO Q ressource reference ?",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
geohier:Hierarchical_0,,,,,,,,,,,,,,false,false,,geoco:Country_0,,,,,,,,,,,,,,,,,,,,,,
geocofr:Pays_0,geoco:idIso,,String,,,NOT defaultValue FR else multiple per row,geocofr:idIso,,,,0,,,,false,,"geoco:Country_0,geohier:Hierarchical_0",,,,,,,,,,,,,,true,,,FR,,geo:idIso,,,
geocofr:Pays_0,geoco:name,,i18n,,,,,,,fr,,,,,,,,,,,,,,,,,,,,,,,,,,"geo:name,odisp:name",,,true
geocofr:Pays_0,geoco:name,,map,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
geocofr:Pays_0,geoco:name.l,,String,,,,,,en,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
geocofr:Pays_0,geoco:name.v,,String,,,,geocofr:name-en,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
geocofr:Pays_0,geoco:name.0,,map,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
geocofr:Pays_0,geoco:name.0.l,,String,,,,,,fr,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
geocofr:Pays_0,geoco:name.0.v,,String,,,,geocofr:name-fr,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
geocofr:Pays_0,geoco:name.1,,map,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
geocofr:Pays_0,geoco:name.1.l,,String,,,,,,it,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
geocofr:Pays_0,geoco:name.1.v,,String,,,,geocofr:name-it,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
geocofr:Pays_0,geoco:name.2,,map,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
geocofr:Pays_0,geoco:name.2.l,,String,,,,,,bg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
geocofr:Pays_0,geoco:name.2.v,,String,,,,geocofr:name-bg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
geocofr:Pays_0,geoco:name.3,,map,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
geocofr:Pays_0,geoco:name.3.l,,String,,,,,,tr,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
geocofr:Pays_0,geoco:name.3.v,,String,,,,geocofr:name-tr,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
geocofr:Pays_0,geoco:name.4,,map,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
geocofr:Pays_0,geoco:name.4.l,,String,,,,,,es,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
geocofr:Pays_0,geoco:name.4.v,,String,,,,geocofr:name-es,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
geocofr:Pays_0,geoco:name.5,,map,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
geocofr:Pays_0,geoco:name.5.l,,String,,,,,,de,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
geocofr:Pays_0,geoco:name.5.v,,String,,,,geocofr:name-de,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
geocofr:Pays_0,geoco:name.6,,map,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
geocofr:Pays_0,geoco:name.6.l,,String,,,,,,ar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
geocofr:Pays_0,geoco:name.6.v,,String,,,,geocofr:name-ar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
geocofr:Pays_0,geoco:name.7,,map,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
geocofr:Pays_0,geoco:name.7.l,,String,,,,,,ca,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
geocofr:Pays_0,geoco:name.7.v,,String,,,,geocofr:name-ca,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
geocofr:Pays_0,geoco:statisticalInstitute,,String,,,,geocofr:statisticalInstitute,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
geocoit:Paese_0,geoco:idIso,,String,,,NOT defaultValue IT else multiple per row,geocoit:idIso,,,,0,,,,false,,"geoco:Country_0,geohier:Hierarchical_0",,,,,,,,,,,,,,true,,,IT,,geo:idIso,,,
geocoit:Paese_0,geoco:name,,i18n,,,not the it Internal field name else instanciated in fr,,,,it,,,,,,,,,,,,,,,,,,,,,,,,,,"geo:name,odisp:name",,,true
geocoit:Paese_0,geoco:name,,map,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
geocoit:Paese_0,geoco:name.l,,String,,,,,,en,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
geocoit:Paese_0,geoco:name.v,,String,,,,geocoit:name-en,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
geocoit:Paese_0,geoco:name.0,,map,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
geocoit:Paese_0,geoco:name.0.l,,String,,,,,,fr,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
geocoit:Paese_0,geoco:name.0.v,,String,,,,geocoit:name-fr,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
geocoit:Paese_0,geoco:name.1,,map,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
geocoit:Paese_0,geoco:name.1.l,,String,,,,,,it,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
geocoit:Paese_0,geoco:name.1.v,,String,,,,geocoit:name-it,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
geocoit:Paese_0,geoco:name.2,,map,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
geocoit:Paese_0,geoco:name.2.l,,String,,,,,,bg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
geocoit:Paese_0,geoco:name.2.v,,String,,,,geocoit:name-bg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
geocoit:Paese_0,geoco:name.3,,map,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
geocoit:Paese_0,geoco:name.3.l,,String,,,,,,tr,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
geocoit:Paese_0,geoco:name.3.v,,String,,,,geocoit:name-tr,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
geocoit:Paese_0,geoco:name.4,,map,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
geocoit:Paese_0,geoco:name.4.l,,String,,,,,,es,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
geocoit:Paese_0,geoco:name.4.v,,String,,,,geocoit:name-es,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
geocoit:Paese_0,geoco:name.5,,map,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
geocoit:Paese_0,geoco:name.5.l,,String,,,,,,de,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
geocoit:Paese_0,geoco:name.5.v,,String,,,,geocoit:name-de,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
geocoit:Paese_0,geoco:name.6,,map,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
geocoit:Paese_0,geoco:name.6.l,,String,,,,,,ar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
geocoit:Paese_0,geoco:name.6.v,,String,,,,geocoit:name-ar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
geocoit:Paese_0,geoco:name.7,,map,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
geocoit:Paese_0,geoco:name.7.l,,String,,,,,,ca,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
geocoit:Paese_0,geoco:name.7.v,,String,,,,geocoit:name-ca,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
geocoit:Paese_0,geoco:statisticalInstitute,,String,,,not the it Internal field name else instanciated in fr,geocoit:statisticalInstitute,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
geocoes:País_0,geoco:idIso,,String,,,NOT defaultValue ES else multiple per row,geocoes:idIso,,,,0,,,,false,,"geoco:Country_0,geohier:Hierarchical_0",,,,,,,,,,,,,,true,,,ES,,geo:idIso,,,
geocoes:País_0,geoco:name,,i18n,,,not the es Internal field name else instanciated in fr,,,,es,,,,,,,,,,,,,,,,,,,,,,,,,,"geo:name,odisp:name",,,true
geocoes:País_0,geoco:name,,map,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
geocoes:País_0,geoco:name.l,,String,,,,,,en,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
geocoes:País_0,geoco:name.v,,String,,,,geocoes:name-en,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
geocoes:País_0,geoco:name.0,,map,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
geocoes:País_0,geoco:name.0.l,,String,,,,,,fr,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
geocoes:País_0,geoco:name.0.v,,String,,,,geocoes:name-fr,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
geocoes:País_0,geoco:name.1,,map,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
geocoes:País_0,geoco:name.1.l,,String,,,,,,it,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
geocoes:País_0,geoco:name.1.v,,String,,,,geocoes:name-it,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
geocoes:País_0,geoco:name.2,,map,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
geocoes:País_0,geoco:name.2.l,,String,,,,,,bg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
geocoes:País_0,geoco:name.2.v,,String,,,,geocoes:name-bg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
geocoes:País_0,geoco:name.3,,map,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
geocoes:País_0,geoco:name.3.l,,String,,,,,,tr,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
geocoes:País_0,geoco:name.3.v,,String,,,,geocoes:name-tr,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
geocoes:País_0,geoco:name.4,,map,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
geocoes:País_0,geoco:name.4.l,,String,,,,,,es,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
geocoes:País_0,geoco:name.4.v,,String,,,,geocoes:name-es,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
geocoes:País_0,geoco:name.5,,map,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
geocoes:País_0,geoco:name.5.l,,String,,,,,,de,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
geocoes:País_0,geoco:name.5.v,,String,,,,geocoes:name-de,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
geocoes:País_0,geoco:name.6,,map,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
geocoes:País_0,geoco:name.6.l,,String,,,,,,ar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
geocoes:País_0,geoco:name.6.v,,String,,,,geocoes:name-ar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
geocoes:País_0,geoco:name.7,,map,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
geocoes:País_0,geoco:name.7.l,,String,,,,,,ca,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
geocoes:País_0,geoco:name.7.v,,String,,,,geocoes:name-ca,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
geocoes:País_0,geoco:statisticalInstitute,,String,,,Instituto Nacional de Estadística,geocoes:statisticalInstitute,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
geocobg:Cтрана_0,geoco:idIso,,String,,,NOT defaultValue BG else multiple per row,geocobg:idIso,,,,0,,,,false,,"geoco:Country_0,geohier:Hierarchical_0",,,,,,,,,,,,,,true,,,BG,,geo:idIso,,,
geocobg:Cтрана_0,geoco:name,,i18n,,,not the bg Internal field name else instanciated in fr,,,,bg,,,,,,,,,,,,,,,,,,,,,,,,,,"geo:name,odisp:name",,,true
geocobg:Cтрана_0,geoco:name,,map,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
geocobg:Cтрана_0,geoco:name.l,,String,,,,,,en,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
geocobg:Cтрана_0,geoco:name.v,,String,,,,geocobg:name-en,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
geocobg:Cтрана_0,geoco:name.0,,map,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
geocobg:Cтрана_0,geoco:name.0.l,,String,,,,,,fr,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
geocobg:Cтрана_0,geoco:name.0.v,,String,,,,geocobg:name-fr,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
geocobg:Cтрана_0,geoco:name.1,,map,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
geocobg:Cтрана_0,geoco:name.1.l,,String,,,,,,it,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
geocobg:Cтрана_0,geoco:name.1.v,,String,,,,geocobg:name-it,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
geocobg:Cтрана_0,geoco:name.2,,map,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
geocobg:Cтрана_0,geoco:name.2.l,,String,,,,,,bg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
geocobg:Cтрана_0,geoco:name.2.v,,String,,,,geocobg:name-bg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
geocobg:Cтрана_0,geoco:name.3,,map,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
geocobg:Cтрана_0,geoco:name.3.l,,String,,,,,,tr,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
geocobg:Cтрана_0,geoco:name.3.v,,String,,,,geocobg:name-tr,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
geocobg:Cтрана_0,geoco:name.4,,map,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
geocobg:Cтрана_0,geoco:name.4.l,,String,,,,,,es,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
geocobg:Cтрана_0,geoco:name.4.v,,String,,,,geocobg:name-es,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
geocobg:Cтрана_0,geoco:name.5,,map,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
geocobg:Cтрана_0,geoco:name.5.l,,String,,,,,,de,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
geocobg:Cтрана_0,geoco:name.5.v,,String,,,,geocobg:name-de,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
geocobg:Cтрана_0,geoco:name.6,,map,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
geocobg:Cтрана_0,geoco:name.6.l,,String,,,,,,ar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
geocobg:Cтрана_0,geoco:name.6.v,,String,,,,geocobg:name-ar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
geocobg:Cтрана_0,geoco:name.7,,map,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
geocobg:Cтрана_0,geoco:name.7.l,,String,,,,,,ca,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
geocobg:Cтрана_0,geoco:name.7.v,,String,,,,geocobg:name-ca,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
geocobg:Cтрана_0,geoco:statisticalInstitute,,String,,,not the bg Internal field name else instanciated in fr,geocobg:statisticalInstitute,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
geocotr:Ülke_0,geoco:idIso,,String,,,NOT defaultValue TR else multiple per row,geocotr:idIso,,,,0,,,,false,,"geoco:Country_0,geohier:Hierarchical_0",,,,,,,,,,,,,,true,,,TR,,geo:idIso,,,
geocotr:Ülke_0,geoco:name,,i18n,,,not the tr Internal field name else instanciated in fr,,,,tr,,,,,,,,,,,,,,,,,,,,,,,,,,"geo:name,odisp:name",,,true
geocotr:Ülke_0,geoco:name,,map,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
geocotr:Ülke_0,geoco:name.l,,String,,,,,,en,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
geocotr:Ülke_0,geoco:name.v,,String,,,,geocotr:name-en,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
geocotr:Ülke_0,geoco:name.0,,map,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
geocotr:Ülke_0,geoco:name.0.l,,String,,,,,,fr,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
geocotr:Ülke_0,geoco:name.0.v,,String,,,,geocotr:name-fr,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
geocotr:Ülke_0,geoco:name.1,,map,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
geocotr:Ülke_0,geoco:name.1.l,,String,,,,,,it,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
geocotr:Ülke_0,geoco:name.1.v,,String,,,,geocotr:name-it,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
geocotr:Ülke_0,geoco:name.2,,map,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
geocotr:Ülke_0,geoco:name.2.l,,String,,,,,,bg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
geocotr:Ülke_0,geoco:name.2.v,,String,,,,geocotr:name-bg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
geocotr:Ülke_0,geoco:name.3,,map,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
geocotr:Ülke_0,geoco:name.3.l,,String,,,,,,tr,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
geocotr:Ülke_0,geoco:name.3.v,,String,,,,geocotr:name-tr,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
geocotr:Ülke_0,geoco:name.4,,map,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
geocotr:Ülke_0,geoco:name.4.l,,String,,,,,,es,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
geocotr:Ülke_0,geoco:name.4.v,,String,,,,geocotr:name-es,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
geocotr:Ülke_0,geoco:name.5,,map,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
geocotr:Ülke_0,geoco:name.5.l,,String,,,,,,de,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
geocotr:Ülke_0,geoco:name.5.v,,String,,,,geocotr:name-de,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
geocotr:Ülke_0,geoco:name.6,,map,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
geocotr:Ülke_0,geoco:name.6.l,,String,,,,,,ar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
geocotr:Ülke_0,geoco:name.6.v,,String,,,,geocotr:name-ar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
geocotr:Ülke_0,geoco:name.7,,map,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
geocotr:Ülke_0,geoco:name.7.l,,String,,,,,,ca,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
geocotr:Ülke_0,geoco:name.7.v,,String,,,,geocotr:name-ca,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
geocotr:Ülke_0,geoco:statisticalInstitute,,String,,,not the tr Internal field name else instanciated in fr,geocotr:statisticalInstitute,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
geocogb:Country_0,geoco:idIso,,String,,,NOT defaultValue FR else multiple per row,geocogb:idIso,,,,0,,,,false,,geoco:Country_0,,,,,,,,,,,,,,true,,,GB,,geo:idIso,,,
geocogb:Country_0,geoco:name,,i18n,,,,,,,en,,,,,,,,,,,,,,,,,,,,,,,,,,"geo:name,odisp:name",,,true
geocogb:Country_0,geoco:name,,map,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
geocogb:Country_0,geoco:name.l,,String,,,,,,en,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
geocogb:Country_0,geoco:name.v,,String,,,,geocogb:name-en,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
geocogb:Country_0,geoco:name.0,,map,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
geocogb:Country_0,geoco:name.0.l,,String,,,,,,fr,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
geocogb:Country_0,geoco:name.0.v,,String,,,,geocogb:name-fr,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
geocogb:Country_0,geoco:name.1,,map,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
geocogb:Country_0,geoco:name.1.l,,String,,,,,,it,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
geocogb:Country_0,geoco:name.1.v,,String,,,,geocogb:name-it,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
geocogb:Country_0,geoco:name.2,,map,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
geocogb:Country_0,geoco:name.2.l,,String,,,,,,bg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
geocogb:Country_0,geoco:name.2.v,,String,,,,geocogb:name-bg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
geocogb:Country_0,geoco:name.3,,map,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
geocogb:Country_0,geoco:name.3.l,,String,,,,,,tr,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
geocogb:Country_0,geoco:name.3.v,,String,,,,geocogb:name-tr,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
geocogb:Country_0,geoco:name.4,,map,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
geocogb:Country_0,geoco:name.4.l,,String,,,,,,es,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
geocogb:Country_0,geoco:name.4.v,,String,,,,geocogb:name-es,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
geocogb:Country_0,geoco:name.5,,map,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
geocogb:Country_0,geoco:name.5.l,,String,,,,,,de,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
geocogb:Country_0,geoco:name.5.v,,String,,,,geocogb:name-de,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
geocogb:Country_0,geoco:name.6,,map,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
geocogb:Country_0,geoco:name.6.l,,String,,,,,,ar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
geocogb:Country_0,geoco:name.6.v,,String,,,,geocogb:name-ar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
geocogb:Country_0,geoco:name.7,,map,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
geocogb:Country_0,geoco:name.7.l,,String,,,,,,ca,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
geocogb:Country_0,geoco:name.7.v,,String,,,,geocogb:name-ca,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
geocogb:Country_0,geoco:statisticalInstitute,,String,,,,geocogb:statisticalInstitute,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
geocoie:Country_0,geoco:idIso,,String,,,NOT defaultValue FR else multiple per row,geocoie:idIso,,,,0,,,,false,,geoco:Country_0,,,,,,,,,,,,,,true,,,GB,,geo:idIso,,,
geocoie:Country_0,geoco:name,,i18n,,,,,,,en,,,,,,,,,,,,,,,,,,,,,,,,,,"geo:name,odisp:name",,,true
geocoie:Country_0,geoco:name,,map,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
